Supplementary Table 7. Mutational signature activity across all tumors ,,,,,,,,,,
pair_id,S1,S5,S6,S7,S11,S17,S2,S4,S13,S10
MEL-IPI_Pat12-TP-NB-SM-7459O-SM-4NFUE,1.934467219,25.11222917,8.85E-09,96.09264686,19.6651013,0.419294428,NA,NA,NA,NA
MEL-IPI_Pat121-TP-NT-SM-7459K-SM-5X2RG,63.87357936,41.13011413,1.94E-14,6.392218449,27.29509793,1.442555228,NA,NA,NA,NA
MEL-IPI_Pat123-TP-NB-SM-5X2R1-SM-5VWHL,1.63E-23,38.01583494,1.79E-30,597.9460539,114.3061972,3.64E-08,NA,NA,NA,NA
MEL-IPI_Pat124-TP-NB-SM-7459L-SM-5VWHM,1.90E-21,46.91546605,1.32E-33,420.9483319,106.396538,3.43463723,NA,NA,NA,NA
MEL-IPI_Pat126-TP-NB-SM-5X2R4-SM-5VWHO,4.64E-32,68.95338389,1.11E-51,338.3421538,148.0348358,13.45246363,NA,NA,NA,NA
MEL-IPI_Pat127-TP-NB-SM-5X2R5-SM-5VWHP,12.55408867,36.77571161,0.00010986,83.7195608,25.62228364,2.11E-20,NA,NA,NA,NA
MEL-IPI_Pat128-TP-NB-SM-5X2R6-SM-5VWHQ,3.33E-05,22.62416739,9.411483553,57.06251891,13.68776691,7.339132048,NA,NA,NA,NA
MEL-IPI_Pat129-TP-NT-SM-5X2R7-SM-5X2RI,22.51498398,25.84314136,8.08E-32,88.66233588,15.76876077,0.023475724,NA,NA,NA,NA
MEL-IPI_Pat13-TP-NB-SM-4DK19-SM-4NFUF,1.597552361,38.42757565,6.92E-34,85.26314292,49.88661849,1.24E-07,NA,NA,NA,NA
MEL-IPI_Pat132-TP-NB-SM-5VWJA-SM-5VWHR,1.13E-141,1.95E-21,9.65E-106,0.141853861,3311.108557,3.08E-37,NA,NA,NA,NA
MEL-IPI_Pat133-TP-NB-SM-7A14Z-SM-5VWHS,16.83282985,270.5808447,8.88E-25,45.34274507,29.37012942,8.55E-35,NA,NA,NA,NA
MEL-IPI_Pat134-TP-NB-SM-5VWJC-SM-5VWHT,7.82E-22,15.78181607,1.57E-33,419.1655345,92.50589661,4.739241133,NA,NA,NA,NA
MEL-IPI_Pat135-TP-NB-SM-7A152-SM-5VWHU,5.128488997,37.73394857,0.09377014,138.6257203,71.04197019,0.000715509,NA,NA,NA,NA
MEL-IPI_Pat138-TP-NB-SM-7A155-SM-5VWHX,1.21E-100,1.14E-14,1.77E-100,7.112902805,8451.475607,6.97E-13,NA,NA,NA,NA
MEL-IPI_Pat139-TP-NB-SM-5VWJH-SM-5VWHY,2.06E-48,3.69E-08,5.01E-66,1762.927652,267.1133328,0.003768753,NA,NA,NA,NA
MEL-IPI_Pat14-TP-NB-SM-53U3C-SM-4NFUG,1.657218014,34.76788436,21.32283652,2.35E-57,11.91371428,5.93E-36,NA,NA,NA,NA
MEL-IPI_Pat140-TP-NB-SM-5VWJI-SM-5VWHZ,2.69E-12,81.87545105,1.32E-19,346.2718434,73.80677527,0.449917675,NA,NA,NA,NA
MEL-IPI_Pat143-TP-NB-SM-7A156-SM-5VWI3,4.624027884,327.7027099,5.01E-12,953.2695074,80.83743131,4.79E-06,NA,NA,NA,NA
MEL-IPI_Pat144-TP-NB-SM-7A157-SM-5VWI4,56.93664958,60.3777807,2.06E-20,250.1854386,27.50979855,4.01E-19,NA,NA,NA,NA
MEL-IPI_Pat147-TP-NB-SM-7A158-SM-5VWI7,19.52936551,0.03458779,1.12E-12,577.4054602,202.4664343,0.02116234,NA,NA,NA,NA
MEL-IPI_Pat148-TP-NB-SM-5VWJQ-SM-5VWI8,5.52E-21,67.5839246,3.64E-18,240.0671859,38.12564986,1.289834021,NA,NA,NA,NA
MEL-IPI_Pat15-TP-NB-SM-4DK1B-SM-4NFUH,2.31E-49,33.63555706,4.26E-67,165.407774,121.9378794,8.498361135,NA,NA,NA,NA
MEL-IPI_Pat151-TP-NB-SM-7A15A-SM-5VWIB,9.31E-73,1.10E-07,3.08E-52,3.00E-10,3718.368557,2.30E-34,NA,NA,NA,NA
MEL-IPI_Pat157-TP-NB-SM-7A15B-SM-5VWIH,25.88385427,49.93067827,1.35E-05,68.75621991,36.01260214,1.44E-14,NA,NA,NA,NA
MEL-IPI_Pat159-TP-NB-SM-5VWK2-SM-5VWIJ,1.24E-32,76.7425748,9.51E-42,570.5897314,148.7624034,0.676280315,NA,NA,NA,NA
MEL-IPI_Pat16-TP-NT-SM-53U3E-SM-53U5B,7.02E-49,0.582866744,4.14E-71,2006.328761,624.7960408,32.97056343,NA,NA,NA,NA
MEL-IPI_Pat160-TP-NB-SM-5VWK3-SM-5VWIK,11.74727763,47.14118089,1.17E-10,3.62E-54,1.06E-101,0.10222557,NA,NA,NA,NA
MEL-IPI_Pat162-TP-NB-SM-7A15D-SM-5VWIM,54.99519162,25.61062866,3.18E-27,11.92727483,8.50E-36,0.091672094,NA,NA,NA,NA
MEL-IPI_Pat163-TP-NB-SM-5VWK6-SM-5VWIN,6.66E-37,30.39020253,1.46E-14,69.86494776,59.75984858,2.94E-18,NA,NA,NA,NA
MEL-IPI_Pat166-TP-NB-SM-7A15G-SM-5VWIQ,53.37231517,2.34E-17,3.60E-10,1.511227002,2.97E-19,4.38E-17,NA,NA,NA,NA
MEL-IPI_Pat167-TP-NB-SM-7A15H-SM-5VWIR,32.32631786,31.97910063,2.97E-26,2.319737862,2.941662551,1.53E-27,NA,NA,NA,NA
MEL-IPI_Pat168-TP-NB-SM-5VOAX-SM-5VWIS,2.710552465,153.0669575,5.06E-07,167.3060332,26.83395084,2.891954725,NA,NA,NA,NA
MEL-IPI_Pat17-TP-NB-SM-4DK1D-SM-4NFUJ,8.63E-33,11.29298328,1.72E-46,208.7333666,59.47431982,3.751048712,NA,NA,NA,NA
MEL-IPI_Pat170-TP-NB-SM-5VOAZ-SM-5VWIU,8.06E-08,46.86140508,1.39E-33,252.0735447,3.791330086,2.71E-10,NA,NA,NA,NA
MEL-IPI_Pat171-TP-NB-SM-7A15J-SM-5VWIV,1.80E-22,91.605799,2.94E-12,1.45E-22,10.5066302,7.466512526,NA,NA,NA,NA
MEL-IPI_Pat174-TP-NB-SM-5VOB4-SM-5VWIY,8.01E-60,1.88E-06,8.08E-85,728.2397769,181.6997762,11.91027393,NA,NA,NA,NA
MEL-IPI_Pat175-TP-NB-SM-7A15L-SM-5VWIZ,24.52278208,51.27584075,5.28E-08,36.8765417,27.19044083,4.13E-18,NA,NA,NA,NA
MEL-IPI_Pat18-TP-NT-SM-4DK1E-SM-53U5D,21.66811386,21.74877764,0.53409405,3.112766444,5.65E-28,1.10E-29,NA,NA,NA,NA
MEL-IPI_Pat21-TP-NT-SM-4DK1H-SM-53U5G,1.54E-52,0.024926708,3.88E-76,1546.401871,601.2809439,0.039461399,NA,NA,NA,NA
MEL-IPI_Pat24-TP-NT-SM-4DK1K-SM-53U5J,27.42454375,15.86062469,0.32305448,1.90E-112,1.672764144,2.95E-27,NA,NA,NA,NA
MEL-IPI_Pat27-TP-NB-SM-4DK1N-SM-4NFUT,25.83676746,26.15936869,3.28E-19,6.272675834,6.263803035,3.85E-18,NA,NA,NA,NA
